"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
George Ede;Actor;1931-12-22;USA;NA
Rowan Atkinson;Actor, Writer, Soundtrack;1955-01-06;UK;NA
Peter MacNicol;Actor, Soundtrack, Director;1954-04-10;USA;NA
John Mills;Actor, Soundtrack, Producer;1908-02-22;UK;2005-04-23
Pamela Reed;Actress;1949-04-02;USA;NA
Harris Yulin;Actor;1937-11-05;USA;NA
Burt Reynolds;Actor, Director, Producer;1936-02-11;USA;NA
Larry Drake;Actor;1950-02-21;USA;NA
Danny Goldring;Actor;NA;USA;NA
Johnny Galecki;Actor, Soundtrack, Producer;1975-04-30;Belgium;NA
Chris Ellis;Actor;1956-04-14;USA;NA
Andrew Lawrence;Actor;1988-01-12;USA;NA
Peter Egan;Actor;1946-09-28;UK;NA
Peter Capaldi;Actor, Director, Writer;1958-04-14;UK;NA
June Brown;Actress, Soundtrack, Miscellaneous Crew;1927-02-16;UK;NA
Peter James;Actor;NA;NA;NA
Clive Corner;Actor;NA;NA;NA
Rob Brownstein;Actor, Director;NA;NA;NA
Julia Pearlstein;Actress;NA;NA;NA
Tom McGowan;Actor;1959-07-26;USA;NA
Sandra Oh;Actress, Soundtrack, Producer;1971-07-20;Canada;NA
Kate Hudson;Actress, Soundtrack, Producer;1979-04-19;USA;NA
Anne Hathaway;Actress, Soundtrack, Producer;1982-11-12;USA;NA
Bryan Greenberg;Actor, Soundtrack, Stunts;1978-05-24;USA;NA
Chris Pratt;Actor, Soundtrack, Miscellaneous Crew;1979-06-21;USA;NA
Steve Howey;Actor, Producer;1977-07-12;USA;NA
Candice Bergen;Actress, Producer, Soundtrack;1946-05-09;USA;NA
Kristen Johnston;Actress;1967-09-20;USA;NA
Michael Arden;Actor;1982-10-06;USA;NA
Victor Slezak;Actor, Producer;1957-07-30;USA;NA
Kelly Coffield Park;Actress, Soundtrack;NA;NA;NA
John Pankow;Actor;1954-04-28;USA;NA
Zoe O'Grady;Actress;NA;NA;NA
Shannon Ferber;Actress;NA;NA;NA
June Diane Raphael;Actress, Writer, Miscellaneous Crew;NA;USA;NA
Charles Bernard;Actor;NA;NA;NA
Emily Sarah Stikeman;Actress;NA;NA;NA
Robert Capron;Actor;1998-07-09;USA;NA
Kallie Tabor;Actress;1996-02-21;USA;NA
Bruce Altman;Actor;1955-07-03;USA;NA
Hettienne Park;Actress;NA;USA;NA
Lauren Bittner;Actress;1980-07-22;USA;NA
Jeremy Brothers;Actor;NA;NA;NA
Rena Maliszewski;Actress;NA;NA;NA
Casey Wilson;Actress, Writer, Soundtrack;1980-10-24;USA;NA
Sarah Kate Jackson;Actress;NA;NA;NA
Jason Kolotouros;Actor;NA;NA;NA
Paul Scheer;Actor, Writer, Producer;1976-01-31;USA;NA
Kristofer Stock;Actor;NA;NA;NA
André Holland;Actor;NA;NA;NA
Anna Madigan;Actress;NA;NA;NA
Daniel Raymont;Actor;1969-07-28;USA;NA
Jon Daly;Actor, Writer, Producer;NA;NA;NA
Dennis Parlato;Actor;1947-03-30;USA;NA
Michael Anastasia;Actor;NA;NA;NA
