"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Red West;Actor, Soundtrack, Stunts;1936;USA;NA
Scott N. Stevens;Actor;NA;NA;NA
John Boyd West;Actor, Producer, Director;1970-11-19;USA;NA
Jeremy Wood;Actor;NA;NA;NA
Daniel La Rocque;Actor;NA;NA;NA
Bonnie Johnson;Actress;1945;USA;NA
Mike Stanley;Actor, Producer, Writer;NA;USA;NA
Shane Callahan;Actor, Producer, Editor;NA;NA;NA
Carl McIntyre;Actor, Producer;NA;NA;NA
Stephani Victor;Actress;NA;NA;NA
Erik Conti;Actor;NA;NA;NA
Todd Davis;Actor, Camera Department, Set Decorator;1968-12-20;USA;NA
Robert Harris;Actor;1930-04-12;USA;NA
Kathryn Jacobs;Producer, Writer, Actress;NA;NA;NA
Wayne Jacobs;Camera Department, Actor, Director;NA;NA;NA
Barbara-Anne Johnson;Actress;NA;NA;NA
Christy Johnson;Actress, Soundtrack, Miscellaneous Crew;NA;NA;NA
Tom Mustin;Actor;NA;NA;NA
Nelson Ranson;Actor;NA;NA;NA
Todd Sandler;Actor;NA;NA;NA
Maegen Worley;Actress;NA;NA;NA
Michael Worley;Actor;NA;NA;NA
Lorenzo Lamas;Actor, Producer, Director;1958-01-20;USA;NA
Kathleen Kinmont;Actress, Writer, Producer;1965-02-03;USA;NA
John Savage;Actor, Producer, Soundtrack;1949-08-25;USA;NA
John Saint Ryan;Actor, Writer, Stunts;NA;NA;NA
Lori Fetrick;Actress;1963-03-28;USA;NA
Pamela Dixon;Actress;1944-08-29;USA;NA
Al Sapienza;Actor, Producer;1962;USA;NA
Sandee Van Dyke;Actress;NA;NA;NA
Michael Chong;Actor;NA;NA;NA
Daryl Keith Roach;Actor;NA;NA;NA
Gary Wood;Actor;NA;NA;NA
Larry Manetti;Actor, Producer;1947-07-23;USA;NA
Branscombe Richmond;Actor, Stunts, Producer;1955-08-08;USA;NA
Ned Van Zandt;Actor;NA;NA;NA
Richard Ehrlich;Actor;NA;NA;NA
Robert Lavetta;Actor, Miscellaneous Crew, Producer;NA;NA;NA
Matthew David Smith;Actor, Writer, Producer;1963-06-13;NA;NA
Dick Martinsen;Actor;NA;NA;NA
Mitchell Sacharoff;Actor;NA;NA;NA
Tim Colceri;Actor, Director, Assistant Director;1951-06-15;USA;NA
Anthony De Longis;Actor, Miscellaneous Crew, Stunts;1950-03-23;USA;NA
Art Camacho;Stunts, Miscellaneous Crew, Actor;NA;NA;NA
Steven Novak;Actor;NA;NA;NA
Ryal Haakenson;Actor;1962-09-22;USA;NA
Jay Lasoff;Actor, Editor, Miscellaneous Crew;NA;NA;NA
Matthias Schweighöfer;Actor, Producer, Director;1981-03-11;Germany;NA
Tim Sander;Actor;1978-07-27;Germany;NA
Anna Bertheau;Actress;1982-12-31;Germany;NA
Axel Stein;Actor, Director, Writer;1982-02-28;Germany;NA
Thomas Schmieder;Actor;1980;NA;NA
Denis Moschitto;Actor, Assistant Director;1977-06-22;Germany;NA
Jürgen Tarrach;Actor;1960-12-17;Germany;NA
Ulrike Kriener;Actress;1954-12-24;Germany;NA
Volker Risch;Actor;1953;NA;NA
Ernst Stötzner;Actor, Soundtrack;1952;Germany;NA
Younes Ibilou;Actor;NA;NA;NA
Tim Egloff;Actor;1976-01-31;Germany;NA
Judith Hoersch;Actress, Writer;1981-03-15;Germany;NA
Rabea Wyrwich;Actress;1980-07-16;Germany;NA
Haluk Piyes;Actor, Director, Writer;1975-03-30;Germany;NA
Dustin Semmelrogge;Actor;1980-06-23;Germany;NA
Henning Baum;Actor, Producer;1972-09-20;Germany;NA
Sebastian Kroehnert;Actor, Soundtrack;1980-08-17;Germany;NA
Katharina Blaschke;Actress;1956;NA;NA
Ulrich Gebauer;Actor;1956-01-28;Germany;NA
Oliver Nitsche;Actor;1962;NA;NA
Manuela Külbinger;Actress;NA;NA;NA
Manfred Böll;Actor;1944;NA;NA
Gisela Schulz;Actress;NA;NA;NA
Sascha Bremm;Actor;NA;NA;NA
Roman Russo;Actor, Assistant Director, Miscellaneous Crew;NA;NA;NA
Niels-Bruno Schmidt;Actor, Soundtrack;1975;Germany;NA
Daniel Brühl;Actor;1978-06-16;Spain;NA
Tomoko Kawakami;Actress;1970-04-25;Japan;2011-06-09
Aya Hisakawa;Actress, Soundtrack;1968-11-12;Japan;NA
Hikaru Midorikawa;Actor;1968-05-02;Japan;NA
Chinami Nishimura;Actress;1970-11-18;Japan;NA
Kikuko Inoue;Actress, Soundtrack;1964-09-25;Japan;NA
Nobutoshi Kanna;Actor;1968-06-10;Japan;NA
Shin'ichirô Miki;Actor;1968-03-18;Japan;NA
Yumi Tôma;Actress, Soundtrack;1966-12-20;Japan;NA
Hiromi Konno;Actress;1975-09-13;Japan;NA
Yuko Nagashima;Actress;1970-07-03;Japan;NA
Keiko Han;Actress, Soundtrack;1953-04-05;Japan;NA
Michio Nakao;Actor;NA;NA;NA
Aki Sasaki;Actress;NA;NA;NA
Kanako Tateno;Actress;NA;NA;NA
Sayaka Maeno;Actress;NA;NA;NA
Noriko Yoshitake;Actress;NA;NA;NA
Hisayo Yanai;Actress;NA;NA;NA
Tomohisa Aso;Actor;NA;NA;NA
Kenji Hirai;Actor, Camera Department, Art Department;NA;NA;NA
Kôhei Fukuhara;Actor, Miscellaneous Crew;NA;NA;NA
Ryôtarô Okiayu;Actor;1969-11-17;Japan;NA
Shelley Calene-Black;Actress;NA;NA;NA
Luci Christian;Actress, Writer;1973-03-18;USA;NA
